Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
0,0,0,-1,0,1,0,-1,1,0,1,0,-1,0,-1,1,0,-1,0,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.3272,0.2782,0.0003,0,0.3941,0,0.0002,0.822431,1,39,1
0,0,0,-1,0,1,0,-1,1,0,1,0,-1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.0442,0.0421,0.0643,0,0.7119,0,0.1375,0.938559,1,39,1
0,0,0,-1,0,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0.4398,0.4389,0.0001,0,0.1207,0,0.0005,0.771805,1,39,1
-1,0,0,-1,0,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0.2957,0.1597,0,0.2801,0,0.2645,0.982279,1,39,1
-1,1,0,-1,0,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,0.0001,0,0.9996,0,0.0003,0.791837,1,39,1
-1,1,0,-1,-1,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,-1,1,0,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,0.4725,0,0,0,0.5275,0.997536,1,39,1
-1,1,0,-1,-1,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,0,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,0.0001,0,0,0,0.9999,0.794459,1,39,1
-1,1,0,-1,-1,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,0.4743,0,0,0,0.5257,1,1,39,1
-1,1,0,-1,-1,1,0,-1,1,0,1,1,-1,0,-1,1,0,-1,-1,1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,0.0001,0,0,0,0.9999,0.79596,1,39,1
-1,1,0,-1,-1,1,0,-1,1,0,1,1,-1,-1,-1,1,0,-1,-1,1,-1,1,-1,0,1,-1,1,1,-1,1,0,1,1,1,-1,-1,-1,0,1,-1,-1,1,0,0,0.4768,0,0,0,0.5232,1,1,39,1
