Board Vector,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Move Predictions,-,-,-,-,-,-,Position Rating,Game Result,Game Length,Game Index
0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,-1,0,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,6e-05,0.31298,0.345,2e-05,0.16778,0.00012,0.17404,0.87978,1,37,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,0,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.07086,0.0989,0.04414,0.02036,0.7062,0.03288,0.02666,0.930966,1,37,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,1,0,0,1,0,0,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.99976,4e-05,4e-05,4e-05,6e-05,4e-05,2e-05,0.974606,1,37,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,1,0,0,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.0245,0.05104,0.04034,0.01048,0.82828,0.02164,0.02372,0.885474,1,37,3
0,0,0,0,0,0,0,0,0,-1,0,0,0,1,-1,0,1,0,1,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.16104,0.21388,0.26942,0.00012,0.1578,0.00012,0.19762,0.818796,1,37,3
0,0,-1,0,0,0,0,0,0,-1,0,0,0,1,-1,0,1,0,1,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.11448,0.12074,0,0.09978,0.40536,0.10518,0.15446,0.931912,1,37,3
0,0,-1,0,0,0,1,0,0,-1,0,0,0,1,-1,0,1,0,1,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.28204,0.5017,0,2e-05,0.21622,2e-05,0,0.915663,1,37,3
0,0,-1,0,0,0,1,-1,0,-1,0,0,0,1,-1,0,1,0,1,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.14888,0.07768,0,0.07028,0.60898,0.09418,0,0.966692,1,37,3
0,0,-1,0,0,0,1,-1,0,-1,0,1,0,1,-1,0,1,0,1,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,8e-05,0.0001,0,2e-05,0.99972,8e-05,0,0.981115,1,37,3
0,0,-1,0,-1,0,1,-1,0,-1,0,1,0,1,-1,0,1,0,1,0,-1,1,1,-1,0,1,0,-1,-1,1,1,1,-1,1,-1,1,-1,-1,1,-1,-1,1,0.45486,0.25108,0,0.20762,0,0.08644,0,0.98345,1,37,3
